host: SGRL-ESX01
time: 2026-01-10T09:42:08 UTC
GID                  PATH                                                                                                                            
224                  /host/system/kernel/heap:visorfs-compression+0x5d
225                  /host/system/kernel/visorfsPager
226                  /host/system/kernel/heap:visorfs-pager+0x5e
227                  /host/system/kernel/root
228                  /host/system/kernel/root/root
229                  /host/system/kernel/ramdisk-heap-root
230                  /host/system/kernel/etc
231                  /host/system/kernel/etc/etc
232                  /host/system/kernel/ramdisk-heap-etc
233                  /host/system/kernel/opt
234                  /host/system/kernel/opt/opt
235                  /host/system/kernel/ramdisk-heap-opt
236                  /host/system/kernel/var
237                  /host/system/kernel/var/var
238                  /host/system/kernel/ramdisk-heap-var
239                  /host/system/kernel/heap:bcFilesHeap+0x5f
240                  /host/system/kernel/heap:bcBufferHeap+0x60
241                  /host/system/kernel/heap:bcBounceHeap+0x61
242                  /host/system/kernel/heap:bcreadahead+0x62
243                  /host/system/kernel/heap:charDriver+0x63
244                  /host/system/kernel/heap:FSCd+0x64
245                  /host/system/kernel/heap:vscsi+0x65
246                  /host/system/kernel/vscsiData-0x43010ef3e340
247                  /host/system/kernel/VSCSIAsyncIODoneFrame-0x43010ef3e640
248                  /host/system/kernel/vscsiSG-0x43010ef3e940
249                  /host/system/kernel/vmmData-0x43010ef3ec40
250                  /host/system/kernel/pvscsiSlab-0x43010ef3ef40
251                  /host/system/kernel/vmmDataNvme-0x43010ef3f240
252                  /host/system/kernel/heap:psa+0x66
253                  /host/system/kernel/heap:SCSI-Trace-Heap+0x67
254                  /host/system/kernel/heap:SerialPort8250Heap+0x68
255                  /host/system/kernel/heap:memMap+0x69
256                  /host/system/kernel/heap:ModEvents+0x6a
257                  /host/system/kernel/PMemArsPool
258                  /host/system/kernel/heap:PMem+0x6b
259                  /host/system/kernel/PMem
260                  /host/system/kernel/heap:PMemJrnl+0x6c
261                  /host/system/kernel/heap:pMemDiskHeap+0x6d
262                  /host/system/kernel/vmMemMigratePagePool
263                  /host/system/kernel/heap:reliability+0x6e
264                  /host/system/kernel/crashme
265                  /host/system/kernel/heap:vcpc+0x6f
266                  /host/system/kernel/vcpc
267                  /host/system/kernel/heap:nvdManagmentHeap+0x70
268                  /host/system/kernel/heap:HealthCheckOnDemand+0x71
269                  /host/system/kernel/heap:randomHeap+0x72
270                  /host/system/kernel/heap:cryptoProvMgr+0x73
271                  /host/system/kernel/heap:crypto+0x74
272                  /host/system/kernel/heap:KeyCache+0x75
273                  /host/system/kernel/heap:VMKAPI-char-metadata+0x76
274                  /host/system/vmkapimod
275                  /host/system/kernel/heap:vmkapiIncompatTimer+0x77
276                  /host/system/kernel/heap:asyncRemap+0x78
277                  /host/system/kernel/heap:vmce+0x79
278                  /host/system/kernel/heap:loadESX_heap+0x7a
279                  /host/system/kernel/heap:loadESX_heap_static+0x7b
280                  /host/system/kernel/heap:StatsRegistry+0x7c
281                  /host/system/kernel/bootModule:vmkernel
282                  /host/system/kernel/bootModule:bootOptions
284                  /host/system/kernel/heap:chardev+0x7e
285                  /host/system/kernel/heap:tty+0x7f
286                  /host/system/kernel/heap:serialDev+0x80
287                  /host/system/kernel/heap:klog_heap+0x81
288                  /host/system/kernel/heap:userModule-2+0x82
289                  /host/system/kernel/heap:userMemValidMPNRange-2+0x83
290                  /host/system/kernel/heap:userspace-2-1+0x84
291                  /host/system/kernel/UserObj-0x43010ef3f540
292                  /host/system/kernel/VMXSharedRegion-1
293                  /host/system/kernel/UserVmfs_ObjInfo-0x43010ef3f840
294                  /host/system/kernel/heap:objPathCache-1+0x85
295                  /host/system/kernel/heap:fcntlHeap-1+0x86
296                  /host/system/kernel/heap:userpipe-1+0x87
297                  /host/system/kernel/heap:usercrossfd-1+0x88
298                  /host/system/kernel/heap:userfifo-1+0x89
299                  /host/system/kernel/heap:userTeletype-1+0x8a
300                  /host/system/kernel/heap:userIPC-1+0x8b
301                  /host/system/kernel/heap:globalCartel-1+0x8c
302                  /host/system/kernel/heap:userspaceDumpHeap-2-1+0x8d
303                  /host/system/kernel/heap:eventfd-1+0x8e
304                  /host/system/kernel/heap:userEpoll-1+0x8f
305                  /host/system/kernel/heap:userRes-1+0x90
306                  /host/system/kernel/heap:usersocketunix-1+0x91
307                  /host/system/kernel/heap:userSocketInet-1+0x92
308                  /host/system/kernel/heap:userSocketVmci-1+0x93
309                  /host/system/kernel/heap:procfs+0x94
311                  /host/system/kernel/visorfsPager/pgr-vmx.v00
313                  /host/system/kernel/visorfsPager/pgr-vim.v00
315                  /host/system/kernel/visorfsPager/pgr-sb.v00
317                  /host/system/kernel/visorfsPager/pgr-s.v00
319                  /host/system/kernel/visorfsPager/pgr-lsi_msgp.v00
321                  /host/system/kernel/visorfsPager/pgr-bnxtnet.v00
323                  /host/system/kernel/visorfsPager/pgr-bnxtroce.v00
325                  /host/system/kernel/visorfsPager/pgr-lsi_mr3.v00
327                  /host/system/kernel/visorfsPager/pgr-lsi_msgp.v01
329                  /host/system/kernel/visorfsPager/pgr-elx_esx_.v00
331                  /host/system/kernel/visorfsPager/pgr-brcmfcoe.v00
333                  /host/system/kernel/visorfsPager/pgr-elxiscsi.v00
335                  /host/system/kernel/visorfsPager/pgr-elxnet.v00
337                  /host/system/kernel/visorfsPager/pgr-lpfc.v00
